Guloso-VND-ILS
Solução (Tempo)

n10m2_A

1186-806-774 (134-441-11475)
1186-768-768 (114-412-5224)
1186-814-765 (93-214-9745)
1186-843-763 (110-232-6905)
1186-788-777 (94-352-11692)
1186-816-778 (166-891-9429)
1186-845-779 (94-211-7023)
1186-801-765 (91-693-9668)
1186-816-763 (91-544-8838)
1186-782-765 (129-367-11939)

n10m2_B

1117-729-696 (88-241-9472)
1117-739-696 (133-452-18118)
1117-729-696 (86-348-5780)
1117-718-696 (132-507-14752)
1117-814-696 (84-165-12719)
1117-761-696 (127-400-8812)
1117-804-696 (86-177-8431)
1117-745-696 (178-770-11431)
1117-730-696 (86-397-4932)
1117-758-696 (88-174-5726)

n15m3_A

1678-1113-1074 (217-469-15368)
1678-1098-1039 (206-1043-20109)
1678-1123-1042 (191-1087-20475)
1678-1060-1055 (163-867-31648)
1678-1155-1049 (217-805-23526)
1678-1107-1020 (168-626-27564)
1678-1107-1039 (165-610-22591)
1678-1178-1044 (190-701-24898)
1678-1144-1053 (180-356-20420)
1678-1157-1038 (191-484-33265)

n15m3_B

1714-1173-1115 (164-554-22327)
1714-1161-1116 (180-446-19960)
1714-1162-1092 (167-764-16277)
1714-1160-1119 (164-921-29688)
1714-1197-1092 (164-497-39754)
1714-1181-1087 (170-1002-36180)
1714-1206-1091 (269-727-42343)
1714-1162-1092 (274-1378-27424)
1714-1145-1078 (166-669-17775)
1714-1129-1097 (211-1336-25819)

n15m4_A

1128-739-727 (251-1589-48230)
1128-807-731 (186-753-52139)
1128-776-752 (259-1291-20477)
1128-752-749 (234-1189-34409)
1128-807-735 (188-1065-41209)
1128-811-730 (185-742-50288)
1128-821-735 (180-542-28623)
1128-781-731 (327-1498-67851)
1128-832-781 (194-760-35421)
1128-826-738 (188-709-24201)

n15m4_B

951-823-799 (187-1160-53194)
951-907-807 (177-532-23205)
951-907-821 (339-1050-28694)
951-881-797 (183-778-22355)
951-907-790 (319-839-23383)
951-833-784 (293-1574-57573)
951-823-821 (237-526-26406)
951-809-784 (335-1482-46293)
951-823-802 (185-1235-20123)
951-907-791 (232-518-43278)

n29m4_A

2235-2066-1601 (902-1403-80156)
2235-1957-1630 (509-894-65994)
2235-1860-1633 (506-2060-79490)
2235-1868-1547 (447-960-58164)
2235-1768-1583 (632-2483-171862)
2235-1866-1628 (541-708-44948)
2235-1753-1638 (633-1910-68296)
2235-2086-1603 (453-664-75092)
2235-1673-1627 (810-2980-67005)
2235-1727-1653 (475-1685-47342)

n29m4_B

2280-1763-1685 (457-1779-45457)
2280-1927-1739 (462-1332-68455)
2280-1768-1725 (804-1686-146503)
2280-1832-1730 (455-1097-183724)
2280-1996-1756 (465-876-79912)
2280-1986-1744 (453-664-63393)
2280-1875-1747 (599-2071-76689)
2280-1759-1693 (475-2543-122357)
2280-1861-1670 (605-3934-63783)
2280-1882-1718 (450-2028-70074)

n29m6_A

1787-1051-1037 (825-5079-265331)
1787-1206-1054 (1408-4047-549977)
1787-1173-1081 (550-5443-168756)
1787-1118-1041 (542-4351-299436)
1787-1306-1034 (528-1930-190603)
1787-1169-1066 (944-6190-361503)
1787-1129-1080 (515-5157-119913)
1787-1331-1075 (550-1763-340007)
1787-1162-1048 (938-3553-243886)
1787-1226-1063 (551-1659-141701)

n29m6_B

1531-1225-1106 (546-2680-171470)
1531-1351-1120 (519-3313-227817)
1531-1221-1087 (555-2410-114989)
1531-1351-1088 (510-4718-193815)
1531-1158-1072 (517-2293-166164)
1531-1351-1074 (550-1646-124588)
1531-1351-1127 (527-1472-146932)
1531-1351-1083 (553-1920-226145)
1531-1171-1108 (567-3576-214793)
1531-1351-1102 (510-1330-153123)

n40m5_A

760-737-494 (902-1946-122126)
760-619-501 (847-1951-218078)
760-636-491 (873-2095-97602)
760-595-467 (843-2456-293766)
760-565-507 (557-1201-83083)
760-590-493 (503-1156-245349)
760-613-492 (483-914-135013)
760-576-487 (443-841-110104)
760-589-490 (774-4479-83559)
760-742-486 (428-620-70322)

n40m5_B

1026-762-614 (425-1684-215543)
1026-768-620 (451-966-79408)
1026-727-642 (448-1356-111481)
1026-769-627 (863-1696-69657)
1026-725-644 (515-1700-608888)
1026-769-624 (472-706-79129)
1026-769-615 (492-847-90935)
1026-769-641 (421-830-92496)
1026-769-636 (500-1033-46610)
1026-769-609 (490-934-80317)

n52m5_A

12735-8823-7779 (725-2704-156842)
12735-8823-7619 (1430-2477-304899)
12735-9251-7638 (686-1782-149551)
12735-8823-7795 (800-1960-244066)
12735-11333-7597 (789-1323-205482)
12735-11285-7718 (825-1154-259556)
12735-8823-7762 (786-1861-145859)
12735-8394-7485 (728-2424-218670)
12735-11956-7709 (854-1281-188721)
12735-11229-7682 (844-2046-199489)

n52m5_B

11962-9350-7844 (757-1466-484353)
11962-11359-7818 (1301-1456-443188)
